,Country,Total,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,alpha-3,UN Code
0,China,300609,119,149,224,251,252,652,410,1486,854,1510,2522,4477,8717,15535,11359,9006,7654,8261,8012,10630,16885,17696,21378,30624,32367,46948,42631,CHN,156
1,United States,198401,2039,2081,1812,2312,2160,2262,2568,3092,2549,5056,5447,6520,6008,7681,7101,8077,7542,6824,7260,11496,12664,12421,13131,15050,15164,16319,13765,USA,840
2,India,106938,99,199,110,124,107,107,139,157,138,388,340,676,579,1148,1559,1646,2170,2205,1916,2851,6943,7936,11612,10886,13155,16659,23089,IND,356
3,Japan,66700,535,507,521,752,903,907,1031,1095,969,1401,1638,1997,2486,2950,2906,2649,2804,2852,2637,3193,4668,4366,4464,5226,4399,4780,4064,JPN,392
4,United Kingdom,62019,447,482,531,648,691,721,734,911,761,1246,1823,1751,2003,2313,2173,2187,2237,2400,2861,3482,4155,3786,4067,4575,4746,5156,5132,GBR,826
5,Germany,52406,249,324,311,402,469,434,478,539,531,749,1125,1379,1613,2136,2026,1992,2102,2370,2499,3081,3684,3461,3323,4189,4231,4468,4241,DEU,276
6,France,38691,273,332,305,332,524,434,509,634,694,958,1094,1166,1523,1601,1578,1493,1611,1613,1845,2269,2693,2473,2369,2553,2511,2685,2619,FRA,250
7,Italy,37090,225,240,262,305,412,362,446,555,479,610,881,930,1159,1519,1349,1369,1312,1566,1672,2333,2450,2184,2280,2734,3032,3163,3261,ITA,380
8,Canada,33673,284,282,269,298,306,373,465,487,397,764,976,1021,1186,1351,1280,1215,1204,1306,1380,1745,2243,1879,2069,2566,2569,2781,2977,CAN,124
9,Spain,32780,106,187,169,225,362,320,366,413,472,606,796,1034,1326,1473,1578,1555,1667,1781,1866,1936,2044,2113,1995,2141,2122,2065,2062,ESP,724
10,Australia,31164,160,217,187,286,253,290,206,340,283,463,752,859,911,1164,981,1041,1296,1347,1431,1937,2032,1960,2104,2541,2700,2796,2627,AUS,36
11,South Korea,30749,154,181,183,312,223,368,276,354,313,430,583,694,1213,1218,1398,1446,1339,1529,1328,1538,1986,1972,2164,2568,2117,2269,2593,KOR,410
12,Taiwan,27003,188,190,172,259,266,294,356,411,321,413,492,837,1351,1610,1259,1542,1344,1100,1135,1528,1661,1343,1350,1862,1900,1883,1936,TWN,158
13,Brazil,20488,31,31,62,105,151,105,171,165,108,260,320,342,476,674,550,656,702,903,1027,1201,1543,1548,1914,2375,1824,1821,1423,BRA,76
14,Iran,17942,8,12,8,14,28,22,30,71,38,88,182,273,518,565,609,681,668,768,873,1073,1528,1419,1937,1615,1541,1605,1768,IRN,364
15,Indonesia,16762,1,1,,1,1,5,3,2,1,5,6,10,27,40,24,50,102,105,145,221,552,1540,1745,2963,2710,3263,3239,IDN,360
16,Netherlands,16485,90,88,119,130,182,178,167,220,273,407,507,463,585,749,653,690,637,758,752,823,1052,890,965,1108,1253,1350,1396,NLD,528
17,Turkey,15732,20,29,33,39,57,52,54,94,104,122,172,242,345,558,458,482,516,440,463,582,763,1217,1885,1827,1489,1920,1769,TUR,792
18,Russian Federation,15384,24,46,62,67,67,25,94,56,84,75,93,84,127,122,136,122,170,201,360,775,1002,1161,954,2293,3195,2027,1962,RUS,643
19,Malaysia,14770,1,4,4,10,7,11,16,34,28,43,123,205,458,350,461,469,510,385,740,846,694,1153,1264,1554,1349,1867,2184,MYS,458
20,Singapore,13857,63,85,80,122,111,154,196,206,141,260,252,341,398,462,514,468,507,599,660,709,962,925,1074,1118,1004,1199,1247,SGP,702
21,Poland,13688,41,29,41,81,88,101,122,80,148,153,247,258,506,438,454,493,533,736,756,1034,1127,1123,965,1129,1082,947,976,POL,616
22,Hong Kong,13230,81,103,110,161,128,185,202,349,198,265,303,395,443,543,428,490,526,449,549,673,792,717,876,995,881,1201,1187,HKG,344
23,Switzerland,10840,52,56,66,58,97,75,95,159,129,159,231,251,332,388,429,338,436,471,493,608,827,634,735,875,825,982,1039,CHE,756
24,Greece,10674,48,60,58,105,105,91,104,112,109,174,247,328,423,436,380,352,428,515,533,596,770,473,662,683,914,1027,941,GRC,300
25,Portugal,10302,20,23,22,29,58,74,63,104,80,108,178,213,310,317,399,323,439,515,698,786,778,718,788,896,826,849,688,PRT,620
26,Romania,9950,12,9,14,18,28,18,23,100,31,28,202,169,366,400,588,400,422,335,392,618,590,780,706,1015,1027,993,666,ROU,642
27,Sweden,9841,53,50,46,70,99,87,129,122,139,157,266,202,310,487,303,280,297,413,455,583,762,605,654,737,816,874,845,SWE,752
28,Mexico,9383,27,21,51,45,32,39,51,85,61,161,158,180,289,325,470,362,371,441,503,572,654,791,742,814,818,765,555,MEX,484
29,Belgium,8790,46,68,80,77,105,123,113,131,135,186,235,264,344,329,317,397,375,384,429,500,610,492,545,575,599,687,644,BEL,56
30,Austria,8736,42,40,36,47,54,69,100,102,96,128,191,232,316,337,309,358,339,413,439,554,641,553,604,623,689,726,698,AUT,40
31,Czech Republic,8629,51,50,45,50,51,50,76,73,111,127,224,236,268,361,380,425,365,430,593,620,575,729,571,637,532,503,496,CZE,203
32,Saudi Arabia,8447,10,10,13,9,15,19,18,16,11,10,12,38,51,74,112,150,185,164,305,437,558,561,779,998,1134,1181,1577,SAU,682
33,Thailand,8144,5,6,4,13,6,28,24,32,29,40,69,70,163,186,205,164,179,191,149,279,366,708,1153,1105,881,1017,1072,THA,764
34,Pakistan,8138,,1,2,3,2,2,4,7,3,15,22,40,108,97,95,91,148,118,215,264,406,561,763,1392,1073,1330,1376,PAK,586
35,Finland,7751,50,32,43,72,77,54,82,111,164,118,270,202,272,322,279,260,230,284,367,510,559,473,487,605,640,641,547,FIN,246
36,Israel,6962,100,90,100,134,107,123,125,129,121,170,249,232,280,258,234,261,307,324,305,334,399,493,361,422,434,418,452,ISR,376
37,Bangladesh,6647,2,3,2,2,,2,1,,,11,6,6,25,23,38,46,28,48,31,53,313,331,449,1092,1467,1446,1222,BGD,50
38,Egypt,6620,23,21,24,17,28,24,29,40,15,31,51,71,95,108,153,112,104,150,209,277,517,431,422,971,867,821,1009,EGY,818
39,Denmark,5815,27,25,24,28,27,24,39,54,62,64,111,108,117,205,198,185,200,223,298,383,489,348,444,479,553,578,522,DNK,208
40,South Africa,5589,9,6,10,16,12,17,12,27,11,28,68,83,96,101,155,122,172,178,162,349,333,661,378,835,748,515,485,ZAF,710
41,Viet Nam,5412,,4,1,7,1,4,4,1,4,4,11,22,38,65,63,99,83,182,143,171,305,374,470,599,809,882,1066,VNM,704
42,United Arab Emirates,5222,,3,3,4,3,9,10,20,10,23,43,34,69,55,65,58,165,71,83,142,224,288,315,776,750,746,1253,ARE,784
43,Hungary,5220,18,26,21,35,30,30,35,48,41,38,120,160,177,297,246,255,231,287,293,196,284,317,265,490,411,328,541,HUN,348
